OrgID,Charity Name,Address ,City,State,Zip,Website URL,Category,Cause,Total Revenue,Total Expenses,Fundraising Expenses,CEO Salary,Total Net Assets
10278, United Methodist Committee on Relief of Global Ministries,458 Ponce De Leon Avenue ,Atlanta,GA,30308,http://www.umcor.org/,International,Development and Relief Services,"$47,867,854","$71,196,129","$798,406","$118,010","$111,327,442"
11013,"""I Have a Dream"" Foundation",322 Eighth Avenue Suite 202,New York,NY,10001,http://www.ihaveadreamfoundation.org,Education,Scholarship and Financial Support,"$1,673,033","$2,911,790","$440,888","$161,069","$2,812,977"
6466,"10,000 Degrees",1650 Los Gamos Drive Suite 110,San Rafael,CA,94903,http://www.10000degrees.org,Education,Scholarship and Financial Support,"$12,542,185","$9,258,322","$997,549","$211,442","$13,592,921"
12098,100 Black Men of America,141 Auburn Avenue NE ,Atlanta,GA,30303,http://www.100blackmen.org/,Human Services,"Youth Development, Shelter, and Crisis Services","$3,969,946","$4,366,870","$183,829","$46,276","$3,407,241"
12123,100 Club of Arizona,333 North 44th Street Suite 100,Phoenix,AZ,85008,http://www.100club.org,Human Services,Multipurpose Human Service Organizations,"$6,423,106","$2,201,743","$180,314","$129,940","$7,132,258"
17473,100 Club of Chicago,875 North Michigan Avenue Suite 1351,Chicago,IL,60611,http://www.100clubchicago.org/,Human Services,Social Services,"$2,168,709","$1,408,074","$310,794","$229,333","$8,178,182"
10092,1000 Friends of Florida,308 North Monroe Street ,Tallahassee,FL,32301,http://www.1000fof.org/,Environment,Environmental Protection and Conservation,"$509,326","$485,941","$32,115",,"$421,269"
8770,1000 Friends of Oregon,133 SW 2nd Ave Suite 201,Portland,OR,97204,http://www.friends.org,Environment,Environmental Protection and Conservation,"$1,530,877","$1,564,775","$307,203","$144,078","$3,966,190"
17318,18Doors,"90 Oak Street, Fourth Floor P.O. Box 428",Newton Upper Falls,MA,2464,https://18doors.org/,Religion,Religious Activities,"$3,370,173","$2,463,792","$415,890","$174,331","$1,747,802"
15235,24 Foundation,801 East Morehead Street Suite 308,Charlotte,NC,28202,https://www.24foundation.org/,Health,Medical Research,"$2,255,145","$1,862,821","$190,116","$48,750","$639,656"
16289,350.org,20 Jay Street Suite 732,Brooklyn,NY,11201,http://350.org,Environment,Environmental Protection and Conservation,"$19,193,815","$15,450,256","$665,026","$130,431","$14,993,196"
13055,4 Paws for Ability ,207 Dayton Avenue ,Xenia,OH,45385,http://www.4pawsforability.org/,Human Services,Social Services,"$4,488,781","$4,151,432","$327,029","$116,022","$4,832,614"
18129,6 Stones Mission Network,209 N. Industrial Boulevard Suite 241,Bedford,TX,76021,https://www.6stones.org/,Human Services,Social Services,"$4,172,876","$4,234,521","$266,658","$99,017","$277,035"
11528,826 Valencia,826 Valencia Street ,San Francisco,CA,94110,https://826valencia.org,Education,Youth Education Programs and Services,"$4,361,413","$3,190,593","$249,270","$126,119","$7,816,840"
18903,826LA,1714 West Sunset Boulevard ,Los Angeles,CA,90026,https://826la.org/,Education,Youth Education Programs and Services,"$1,656,051","$1,628,301","$268,575","$116,969","$2,696,323"
14961,9to5 National Association of Working Women,207 East Buffalo Street Suite 211,Milwaukee,WI,53202,http://9to5.org/,Human and Civil Rights,Advocacy and Education,"$1,964,112","$2,141,442","$90,502",,"$1,674,069"
6082,A Better Chance,253 West 35th Street 6th Floor,New York,NY,10001,http://www.abetterchance.org,Education,Youth Education Programs and Services,"$3,791,237","$4,350,199","$895,040","$236,545","$9,457,542"
16343,A Chance In Life,250 East 63rd Street Suite 204,New York,NY,10065,http://www.achanceinlife.org/,Human Services,"Youth Development, Shelter, and Crisis Services","$2,217,374","$1,903,585","$137,995","$195,994","$3,236,950"
15907,A Chance to Change,2113 West Britton Road ,The Village,OK,73120,http://www.achancetochange.org/,Health,Treatment and Prevention Services,"$1,893,620","$1,869,794","$160,775","$144,541","$787,198"
18307,A Child's Hope International,2430 East Kemper Road ,Cincinnati,OH,45241,https://thechildrenarewaiting.org/,International,Development and Relief Services,"$2,883,692","$2,765,858","$41,569","$86,000","$1,200,435"
15368,A Child's Place,601 East Fifth Street Suite 230,Charlotte,NC,28202,http://www.achildsplace.org/,Education,Youth Education Programs and Services,"$1,703,468","$1,802,455","$244,701","$90,190","$1,317,406"
3634,A Contemporary Theatre,Kreielsheimer Place 700 Union Street,Seattle,WA,98101,http://www.acttheatre.org,"Arts, Culture, Humanities",Performing Arts,"$7,463,371","$6,139,857","$489,481","$104,558","$14,703"
12217,A Gift for Teaching,6501 Magic Way Building 400C,Orlando,FL,32809,http://agiftforteaching.org/,Education,Youth Education Programs and Services,"$11,043,982","$9,938,798","$187,042","$86,173","$4,250,619"
16302,A Jewish Voice for Peace,1611 Telegraph Avenue Suite 1020,Oakland,CA,94612,https://jewishvoiceforpeace.org,International,"International Peace, Security, and Affairs","$3,701,891","$3,408,915","$539,783","$92,780","$1,036,324"
9239,A Kid Again,777-G Dearborn Park Lane ,Columbus,OH,43085,http://www.akidagain.org,Health,Patient and Family Support,"$2,751,189","$2,928,429","$179,154",,"$1,609,333"
15719,A Kids' Brain Tumor Cure,85 Riverbend Lane ,Needham,MA,2492,http://akidsbraintumorcure.org/,Health,Medical Research,"$1,272,714","$4,863,510","$95,387",$0,"$128,963"
10176,A Noise Within,3352 East Foothill Boulevard ,Pasadena,CA,91107,http://www.anoisewithin.org,"Arts, Culture, Humanities",Performing Arts,"$3,201,372","$3,403,151","$227,860","$125,281","$11,624,477"
8040,A Place Called Home,2830 South Central Avenue ,Los Angeles,CA,90011,http://www.apch.org,Human Services,"Youth Development, Shelter, and Crisis Services","$10,663,558","$7,196,253","$843,847","$177,019","$13,555,858"
6096,A.J. Muste Memorial Institute,"168 Canal Street, Sixth Floor ",New York,NY,10013,http://www.ajmuste.org/,Human and Civil Rights,Advocacy and Education,"$773,817","$1,508,339","$105,168","$103,012","$19,643,460"
