Total Expenses,Total Net Assests,Charity Name,Class
0.02423273968820824,0.016725265345665506, United Methodist Committee on Relief of Global Ministries,3
0.0009843259509015258,0.002459450109626649,"""I Have a Dream"" Foundation",1
0.0031450966912180815,0.0038766315827034933,"10,000 Degrees",1
0.0014797294703070552,0.0025375748133279427,100 Black Men of America,5
0.0007425799419237802,0.0030272828377199325,100 Club of Arizona,1
0.00047236358554264156,0.0031647848613896683,100 Club of Chicago,0
0.00015840975925131797,0.002145025074894588,1000 Friends of Florida,1
0.0005257147599759138,0.0026110568432155586,1000 Friends of Oregon,1
0.000831798401978691,0.0023194172601438846,18Doors,3
0.0006271889313924274,0.002173735243552313,24 Foundation,3
0.005253232254573194,0.004060718233544414,350.org,1
0.0014063804149879741,0.002724960963740594,4 Paws for Ability ,0
0.0014346692946536187,0.0021260634037961325,6 Stones Mission Network,0
0.001079248558195159,0.003117281164909934,826 Valencia,1
0.0005473431267830692,0.0024441142333400646,826LA,1
0.000722049574092683,0.002309723977734034,9to5 National Association of Working Women,1
0.0014740535816466314,0.003332975465106681,A Better Chance,1
0.0006410676384498036,0.0025151875680665824,A Chance In Life,5
0.0006295629924343046,0.0021931317996847664,A Chance to Change,1
0.000934641241886291,0.002247457853733828,A Child's Hope International,3
0.0006066364333494097,0.00226283540431176,A Child's Place,1
0.002083369132497623,0.0020915760214688037,A Contemporary Theatre,3
0.00337677481563117,0.002648449199725553,A Gift for Teaching,1
0.001153579513993915,0.002225883059956781,A Jewish Voice for Peace,1
0.0009899909446883888,0.0023012134827035307,A Kid Again,1
0.0016488179079720373,0.0021065971714036976,A Kids' Brain Tumor Cure,3
0.0011516170748937602,0.00361785079798056,A Noise Within,3
0.002443034784067244,0.003871759108696518,A Place Called Home,5
0.0005065002885920927,0.004672063523066903,A.J. Muste Memorial Institute,1
0.0019771373059829893,0.005334102498594509,AAA Foundation for Traffic Safety,1
0.0006243290270826942,0.004165327146593983,AACA Museum,3
0.05818644665342916,0.052911216459077474,AARP Foundation,0
0.006513681626114653,0.01751251650431923,AAUW - American Association of University Women,1
0.0014156989365305213,0.002147658837521891,Abandoned Children's Fund,3
0.00047399781657677477,0.002868508126019259,Abby's House,0
0.000532356887735269,0.002460292929443143,ABC² (Accelerate Brain Cancer Cure),3
0.017612989318217566,0.0047163625059814095,Abode Services,1
0.0005758846313294069,0.0021632371346073545,Abraham Initiatives,1
0.00093545767647376,0.00534003286857143,Abraham Lincoln Presidential Library Foundation,1
0.0005945574232183727,0.0024291977292597846,Abused Deaf Women's Advocacy Services,0
0.0005567998770339201,0.003401181161608712,Academy Art Museum,3
0.002307145749860678,0.002539859931726055,Academy of Achievement,5
0.0006425118901262188,0.0034138636870364135,Academy of American Poets,3
0.0007892723058225572,0.007054307209512958,Academy of Fine Arts,3
0.0019805994925217603,0.00235100518980349,Academy of Hope Adult Public Charter School,5
0.0010219987213510827,0.005587421453322736,Academy of Nutrition and Dietetics Foundation,1
0.002085627095043117,0.006463228903514126,Academy of Television Arts & Sciences Foundation,1
0.001433083069156113,0.007263707639999107,Academy of Vocal Arts,1
0.00077806522604119,0.0025201536448982874,Acadia Center,1
0.0004690089858802844,0.002211955301445032,Accelerated Cure Project for Multiple Sclerosis ,1
0.0004446068523574867,0.0023992985943845626,ACCESS,1
0.0014891569405852112,0.009213391770490053,ACCESS College Foundation,1
0.000978545539547877,0.00247360004338249,Access Fund,1
0.0038630004254560477,0.003075503410889628,Accion East ,3
0.0101110510750995,0.0432599367392487,ACCION International,3
0.0008139417042123955,0.0033297817945713375,ACCION San Diego,3
0.010453405793975266,0.005624429933079624,ACE Scholarships,1
0.0036715172347218617,0.005089688432821209,Achievement Centers for Children,0
0.000792872721069632,0.0034584461077179396,Achievement Centers for Children & Families Foundation,1
0.015073298280101316,0.004881736348290186,Achievement First,1
0.0017620912274549925,0.0030558798153213483,AchieveMpls,1
0.0008619686901223814,0.0022244227507192803,Achilles International,1
0.0008724999472781747,0.0025127298365942136,ACLU Foundation of Maryland,1
0.0012090163757845,0.0032462078814809196,ACLU Foundation of Massachusetts,1
0.003782182593846179,0.007126377309151137,ACLU Foundation of Southern California,1
0.0013062299707091085,0.002232414617739166,ACLU Foundation of Texas,1
0.0016232524062318161,0.002961515152994049,ACLU of Michigan Foundation,1
0.001395464092144763,0.002146422149639539,Acres of Love,3
0.0018290436301346372,0.002348350129904268,Act Beyond,3
0.0006719290701350129,0.0022550494109204234,Acterra,1
0.04334243847764231,0.014590775452744773,Action Against Hunger USA,3
0.0020267004690650604,0.0027273977923349684,Action for Healthy Kids,5
0.001715508493221422,0.002577154478542792,Action in Community Through Service,0
0.003478970091491495,0.0022159765418984585,Action Ministries,0
0.0004287864745526809,0.002794794192504081,Action on Smoking and Health,1
0.0009788951968962218,0.002472745523212905,ActionAid USA,3
0.0005183198645464612,0.0021428147598774746,Activated Ministries,3
0.0007198787705356761,0.0021351065935538913,Active Minds,1
0.0036998776119952495,0.004172205508100579,Acton Institute for the Study of Religion and Liberty,1
0.0002961376438360827,0.0025942765649130924,Actors and Others for Animals,1
0.001299443145410273,0.002226885346383384,Actors Playhouse,3
0.00040292034239513885,0.002074264888944063,Actors' Shakespeare Project,3
0.003635760600159826,0.004709342162662021,Actors Theatre of Louisville,3
0.007712779581381159,0.019401142013541914,Acumen,3
0.0005459400713473062,0.002722664933777239,Ada Jenkins Families and Careers Development Center,1
0.0005350795847310946,0.003805901765085149,Adams County Community Foundation,1
0.0009758105858192953,0.003915178330230276,Adaptive Sports Center,0
0.0006089396777131411,0.002984247361474639,Adaptive Sports Foundation,1
0.0010563945181124037,0.0024630872103976868,Adelante Mujeres,0
0.001853341581429009,0.010010117585854857,Adirondack Historical Association,3
0.0014728857873868237,0.002451367532004146,Adirondack Mountain Club,1
0.000531289190126302,0.002998809436881503,Adler Aphasia Center,1
0.006631942754899702,0.005380318104517074,Adler Planetarium,3
0.0005611234395135988,0.0021034425458668717,Administer Justice,1
0.0004139663823266842,0.0022713507635339974,Adolescent Counseling Services,5
0.0015119602514129485,0.002475077837417307,AdoptAClassroom.org,1
0.0023477798831300035,0.00353090954956341,Adopt-A-Family,1
0.0004979679002699235,0.002204926412923948,Adopt-A-Native-Elder Program,0
0.0022989013947582746,0.002369994468476655,AdoptAPlatoon Soldier Support Effort,0
0.02299468643159518,0.008391438153355548,ADRA International,3
0.000455613057907575,0.0025490031660759757,Adult & Teen Challenge MidSouth,1
0.0008226906281465874,0.002418273937805731,Advance Illinois,1
0.00431651656066795,0.0042682932774836865,Advancement Project,1
0.0033774594903415124,0.0024970240188065197,Advancing Native Missions,3
0.002187144845953874,0.003012170977182421,Adventist Frontier Missions,3
0.001796415867073369,0.004242944922637751,Adventure Unlimited,5
0.002379230999846696,0.003213181202785015,Advocates for Children of New York,1
0.0026490459482300757,0.0031243114995420738,Advocates for Youth,1
0.00010421661537066826,0.0021364934140568072,Advocates International,1
0.00026475768426233496,0.0024339040319599358,Affirmations,1
0.0006298649847108205,0.002053018625306061,Afikim Foundation,3
0.001245463132493658,0.002319010771472445,African Bible Colleges,3
0.00023689404513036383,0.0021742749059055666,African Enterprise,3
0.0004471450174323748,0.0021549173947716313,African Leadership,3
0.0010556703494854034,0.002137662660578083,African Leadership and Reconciliation Ministries,3
0.0019090749880593292,0.003231824992380385,African Leadership Foundation,1
0.00042266151282266916,0.0021741284542949636,African Vision of Hope,3
0.009743375648673835,0.007616168813590464,African Wildlife Foundation,5
0.0069180417941438225,0.002244567735055649,Africare,3
0.01176454833126594,0.003837114626122627,AFS-USA,1
0.0017382314543566478,0.0029492702733578168,Afterschool Alliance,1
0.005283762414009192,0.002746815514274699,After-School All-Stars,5
0.011398666473400236,0.05438405848377899,"Aga Khan Foundation, USA",3
0.0007548060328478892,0.0032874284883506557,Agape,5
0.002180068966040876,0.002745476152507355,Agape International Missions,3
0.0010716759401407441,0.0018542033333575276,Agape Villages,1
0.0012087906476229103,0.0027062576206626364,Agriculture Future of America,5
0.0008088609480202351,0.002368519303734668,Agros International,3
0.004963656048339156,0.003778423683047324,Agudath Israel of America,3
0.0006069023363572551,0.0021090225625742635,Ahavas Tzedaka,0
0.0008014493698156423,0.006204957149882983,AHRC New York City Foundation,0
0.003261376314874244,0.0020074408858239304,AID FOR AIDS International,3
0.002640968761343872,0.002173907462232645,Aid for Starving Children,1
0.0035042169181800603,0.002351821059368482,AIDS Action Committee of Massachusetts,1
0.0020184445381594986,0.0025475348374953454,AIDS Foundation Houston,1
0.005339342951944862,0.0030948873464165,AIDS United,3
0.0056231574723891835,0.0034845256688997572,AIDS Vaccine Advocacy Coalition,1
0.0012424741920251882,0.002242309041050473,AIM for Seva,1
0.007118762135333648,0.0266589709491682,Air Force Aid Society,0
0.0035184755839528722,0.004906273960692148,Air Force Enlisted Village,0
0.001303375513836156,0.004273321800020092,Air Force Museum Foundation,3
0.0003219540681330032,0.002700290703515385,Air Warrior Courage Foundation,0
0.00216117351017351,0.0019505849262143307,Aish New York,3
0.00122440095864687,0.002210747535783804,Akilah Institute for Women,1
0.00204119099136584,0.009539041387775862,Akron Art Museum,3
0.005531699434887912,0.02744830161552077,Akron Community Foundation,4
0.016044892549852547,0.0035853067259835093,Akron-Canton Regional Foodbank,1
