OrgID,Charity Name,Address ,City,State,Zip,Website URL,Cause,Total Expenses,Total Net Assets
10278, United Methodist Committee on Relief of Global Ministries,458 Ponce De Leon Avenue ,Atlanta,GA,30308,http://www.umcor.org/,Development and Relief Services,"$71,196,129 ","$111,327,442 "
11013,"""I Have a Dream"" Foundation",322 Eighth Avenue Suite 202,New York,NY,10001,http://www.ihaveadreamfoundation.org,Scholarship and Financial Support,"$2,911,790 ","$2,812,977 "
6466,"10,000 Degrees",1650 Los Gamos Drive Suite 110,San Rafael,CA,94903,http://www.10000degrees.org,Scholarship and Financial Support,"$9,258,322 ","$13,592,921 "
12098,100 Black Men of America,141 Auburn Avenue NE ,Atlanta,GA,30303,http://www.100blackmen.org/,"Youth Development, Shelter, and Crisis Services","$4,366,870 ","$3,407,241 "
12123,100 Club of Arizona,333 North 44th Street Suite 100,Phoenix,AZ,85008,http://www.100club.org,Multipurpose Human Service Organizations,"$2,201,743 ","$7,132,258 "
17473,100 Club of Chicago,875 North Michigan Avenue Suite 1351,Chicago,IL,60611,http://www.100clubchicago.org/,Social Services,"$1,408,074 ","$8,178,182 "
10092,1000 Friends of Florida,308 North Monroe Street ,Tallahassee,FL,32301,http://www.1000fof.org/,Environmental Protection and Conservation,"$485,941 ","$421,269 "
8770,1000 Friends of Oregon,133 SW 2nd Ave Suite 201,Portland,OR,97204,http://www.friends.org,Environmental Protection and Conservation,"$1,564,775 ","$3,966,190 "
17318,18Doors,"90 Oak Street, Fourth Floor P.O. Box 428",Newton Upper Falls,MA,2464,https://18doors.org/,Religious Activities,"$2,463,792 ","$1,747,802 "
15235,24 Foundation,801 East Morehead Street Suite 308,Charlotte,NC,28202,https://www.24foundation.org/,Medical Research,"$1,862,821 ","$639,656 "
16289,350.org,20 Jay Street Suite 732,Brooklyn,NY,11201,http://350.org,Environmental Protection and Conservation,"$15,450,256 ","$14,993,196 "
13055,4 Paws for Ability ,207 Dayton Avenue ,Xenia,OH,45385,http://www.4pawsforability.org/,Social Services,"$4,151,432 ","$4,832,614 "
18129,6 Stones Mission Network,209 N. Industrial Boulevard Suite 241,Bedford,TX,76021,https://www.6stones.org/,Social Services,"$4,234,521 ","$277,035 "
11528,826 Valencia,826 Valencia Street ,San Francisco,CA,94110,https://826valencia.org,Youth Education Programs and Services,"$3,190,593 ","$7,816,840 "
18903,826LA,1714 West Sunset Boulevard ,Los Angeles,CA,90026,https://826la.org/,Youth Education Programs and Services,"$1,628,301 ","$2,696,323 "
14961,9to5 National Association of Working Women,207 East Buffalo Street Suite 211,Milwaukee,WI,53202,http://9to5.org/,Advocacy and Education,"$2,141,442 ","$1,674,069 "
6082,A Better Chance,253 West 35th Street 6th Floor,New York,NY,10001,http://www.abetterchance.org,Youth Education Programs and Services,"$4,350,199 ","$9,457,542 "
16343,A Chance In Life,250 East 63rd Street Suite 204,New York,NY,10065,http://www.achanceinlife.org/,"Youth Development, Shelter, and Crisis Services","$1,903,585 ","$3,236,950 "
15907,A Chance to Change,2113 West Britton Road ,The Village,OK,73120,http://www.achancetochange.org/,Treatment and Prevention Services,"$1,869,794 ","$787,198 "
18307,A Child's Hope International,2430 East Kemper Road ,Cincinnati,OH,45241,https://thechildrenarewaiting.org/,Development and Relief Services,"$2,765,858 ","$1,200,435 "
15368,A Child's Place,601 East Fifth Street Suite 230,Charlotte,NC,28202,http://www.achildsplace.org/,Youth Education Programs and Services,"$1,802,455 ","$1,317,406 "
3634,A Contemporary Theatre,Kreielsheimer Place 700 Union Street,Seattle,WA,98101,http://www.acttheatre.org,Performing Arts,"$6,139,857 ","$14,703 "
12217,A Gift for Teaching,6501 Magic Way Building 400C,Orlando,FL,32809,http://agiftforteaching.org/,Youth Education Programs and Services,"$9,938,798 ","$4,250,619 "
16302,A Jewish Voice for Peace,1611 Telegraph Avenue Suite 1020,Oakland,CA,94612,https://jewishvoiceforpeace.org,"International Peace, Security, and Affairs","$3,408,915 ","$1,036,324 "
9239,A Kid Again,777-G Dearborn Park Lane ,Columbus,OH,43085,http://www.akidagain.org,Patient and Family Support,"$2,928,429 ","$1,609,333 "
15719,A Kids' Brain Tumor Cure,85 Riverbend Lane ,Needham,MA,2492,http://akidsbraintumorcure.org/,Medical Research,"$4,863,510 ","$128,963 "
10176,A Noise Within,3352 East Foothill Boulevard ,Pasadena,CA,91107,http://www.anoisewithin.org,Performing Arts,"$3,403,151 ","$11,624,477 "
8040,A Place Called Home,2830 South Central Avenue ,Los Angeles,CA,90011,http://www.apch.org,"Youth Development, Shelter, and Crisis Services","$7,196,253 ","$13,555,858 "
6096,A.J. Muste Memorial Institute,"168 Canal Street, Sixth Floor ",New York,NY,10013,http://www.ajmuste.org/,Advocacy and Education,"$1,508,339 ","$19,643,460 "
8302,AAA Foundation for Traffic Safety,"607 14th Street, NW Suite 201",Washington,DC,20005,http://www.aaafoundation.org,Social and Public Policy Research,"$5,827,837 ","$24,679,331 "
11128,AACA Museum,161 Museum Drive ,Hershey,PA,17033,http://www.aacamuseum.org,Museums,"$1,854,421 ","$15,788,915 "
3205,AARP Foundation,"601 E Street, NW ",Washington,DC,20049,http://www.aarp.org/aarp-foundation/,Social Services,"$170,923,640 ","$386,579,789 "
3240,AAUW - American Association of University Women,"1310 L Street NW, Suite 1000 ",Washington,DC,20005,http://www.aauw.org,Youth Education Programs and Services,"$19,152,399 ","$117,315,753 "
13189,Abandoned Children's Fund,2360 Mendocino Ave A2-220 ,Santa Rosa,CA,95403,http://www.abandonedchildrensfund.org,Development and Relief Services,"$4,178,802 ","$441,303 "
15570,Abby's House,52 High Street ,Worcester,MA,1609,http://www.abbyshouse.org/,Social Services,"$1,412,874 ","$5,924,521 "
8965,ABC² (Accelerate Brain Cancer Cure),"1717 Rhode Island Avenue, NW Suite 700",Washington,DC,20036,http://www.abc2.org,Medical Research,"$1,584,284 ","$2,819,388 "
9182,Abode Services,40849 Fremont Boulevard ,Fremont,CA,94538,http://www.abodeservices.org,Homeless Services,"$51,752,855 ","$19,980,425 "
9371,Abraham Initiatives,1460 Broadway ,New York,NY,10036,https://abrahaminitiatives.org/,"International Peace, Security, and Affairs","$1,712,132 ","$559,801 "
15194,Abraham Lincoln Presidential Library Foundation,500 East Madison Street Suite 200,Springfield,IL,62701,http://www.alplm.org/,"Libraries, Historical Societies and Landmark Preservation","$2,768,256 ","$24,724,441 "
12762,Abused Deaf Women's Advocacy Services,"8623 Roosevelt Way, NE ",Seattle,WA,98115,http://www.adwas.org/,Social Services,"$1,766,977 ","$2,582,859 "
