OrgID,Charity Name,Address ,City,State,Zip,Website URL,Category,Cause,Total Expenses,Total Net Assets
10278, United Methodist Committee on Relief of Global Ministries,458 Ponce De Leon Avenue ,Atlanta,GA,30308,http://www.umcor.org/,International,Development and Relief Services,71196129,111327442
11013,"""I Have a Dream"" Foundation",322 Eighth Avenue Suite 202,New York,NY,10001,http://www.ihaveadreamfoundation.org,Education,Scholarship and Financial Support,2911790,2812977
6466,"10,000 Degrees",1650 Los Gamos Drive Suite 110,San Rafael,CA,94903,http://www.10000degrees.org,Education,Scholarship and Financial Support,9258322,13592921
12098,100 Black Men of America,141 Auburn Avenue NE ,Atlanta,GA,30303,http://www.100blackmen.org/,Human Services,"Youth Development, Shelter, and Crisis Services",4366870,3407241
12123,100 Club of Arizona,333 North 44th Street Suite 100,Phoenix,AZ,85008,http://www.100club.org,Human Services,Multipurpose Human Service Organizations,2201743,7132258
17473,100 Club of Chicago,875 North Michigan Avenue Suite 1351,Chicago,IL,60611,http://www.100clubchicago.org/,Human Services,Social Services,1408074,8178182
10092,1000 Friends of Florida,308 North Monroe Street ,Tallahassee,FL,32301,http://www.1000fof.org/,Environment,Environmental Protection and Conservation,485941,421269
8770,1000 Friends of Oregon,133 SW 2nd Ave Suite 201,Portland,OR,97204,http://www.friends.org,Environment,Environmental Protection and Conservation,1564775,3966190
17318,18Doors,"90 Oak Street, Fourth Floor P.O. Box 428",Newton Upper Falls,MA,2464,https://18doors.org/,Religion,Religious Activities,2463792,1747802
15235,24 Foundation,801 East Morehead Street Suite 308,Charlotte,NC,28202,https://www.24foundation.org/,Health,Medical Research,1862821,639656
16289,350.org,20 Jay Street Suite 732,Brooklyn,NY,11201,http://350.org,Environment,Environmental Protection and Conservation,15450256,14993196
13055,4 Paws for Ability ,207 Dayton Avenue ,Xenia,OH,45385,http://www.4pawsforability.org/,Human Services,Social Services,4151432,4832614
18129,6 Stones Mission Network,209 N. Industrial Boulevard Suite 241,Bedford,TX,76021,https://www.6stones.org/,Human Services,Social Services,4234521,277035
11528,826 Valencia,826 Valencia Street ,San Francisco,CA,94110,https://826valencia.org,Education,Youth Education Programs and Services,3190593,7816840
18903,826LA,1714 West Sunset Boulevard ,Los Angeles,CA,90026,https://826la.org/,Education,Youth Education Programs and Services,1628301,2696323
14961,9to5 National Association of Working Women,207 East Buffalo Street Suite 211,Milwaukee,WI,53202,http://9to5.org/,Human and Civil Rights,Advocacy and Education,2141442,1674069
6082,A Better Chance,253 West 35th Street 6th Floor,New York,NY,10001,http://www.abetterchance.org,Education,Youth Education Programs and Services,4350199,9457542
16343,A Chance In Life,250 East 63rd Street Suite 204,New York,NY,10065,http://www.achanceinlife.org/,Human Services,"Youth Development, Shelter, and Crisis Services",1903585,3236950
15907,A Chance to Change,2113 West Britton Road ,The Village,OK,73120,http://www.achancetochange.org/,Health,Treatment and Prevention Services,1869794,787198
18307,A Child's Hope International,2430 East Kemper Road ,Cincinnati,OH,45241,https://thechildrenarewaiting.org/,International,Development and Relief Services,2765858,1200435
15368,A Child's Place,601 East Fifth Street Suite 230,Charlotte,NC,28202,http://www.achildsplace.org/,Education,Youth Education Programs and Services,1802455,1317406
3634,A Contemporary Theatre,Kreielsheimer Place 700 Union Street,Seattle,WA,98101,http://www.acttheatre.org,"Arts, Culture, Humanities",Performing Arts,6139857,14703
12217,A Gift for Teaching,6501 Magic Way Building 400C,Orlando,FL,32809,http://agiftforteaching.org/,Education,Youth Education Programs and Services,9938798,4250619
16302,A Jewish Voice for Peace,1611 Telegraph Avenue Suite 1020,Oakland,CA,94612,https://jewishvoiceforpeace.org,International,"International Peace, Security, and Affairs",3408915,1036324
9239,A Kid Again,777-G Dearborn Park Lane ,Columbus,OH,43085,http://www.akidagain.org,Health,Patient and Family Support,2928429,1609333
15719,A Kids' Brain Tumor Cure,85 Riverbend Lane ,Needham,MA,2492,http://akidsbraintumorcure.org/,Health,Medical Research,4863510,128963
10176,A Noise Within,3352 East Foothill Boulevard ,Pasadena,CA,91107,http://www.anoisewithin.org,"Arts, Culture, Humanities",Performing Arts,3403151,11624477
8040,A Place Called Home,2830 South Central Avenue ,Los Angeles,CA,90011,http://www.apch.org,Human Services,"Youth Development, Shelter, and Crisis Services",7196253,13555858
6096,A.J. Muste Memorial Institute,"168 Canal Street, Sixth Floor ",New York,NY,10013,http://www.ajmuste.org/,Human and Civil Rights,Advocacy and Education,1508339,19643460
8302,AAA Foundation for Traffic Safety,"607 14th Street, NW Suite 201",Washington,DC,20005,http://www.aaafoundation.org,Research and Public Policy,Social and Public Policy Research,5827837,24679331
11128,AACA Museum,161 Museum Drive ,Hershey,PA,17033,http://www.aacamuseum.org,"Arts, Culture, Humanities",Museums,1854421,15788915
3205,AARP Foundation,"601 E Street, NW ",Washington,DC,20049,http://www.aarp.org/aarp-foundation/,Human Services,Social Services,170923640,386579789
3240,AAUW - American Association of University Women,"1310 L Street NW, Suite 1000 ",Washington,DC,20005,http://www.aauw.org,Education,Youth Education Programs and Services,19152399,117315753
13189,Abandoned Children's Fund,2360 Mendocino Ave A2-220 ,Santa Rosa,CA,95403,http://www.abandonedchildrensfund.org,International,Development and Relief Services,4178802,441303
15570,Abby's House,52 High Street ,Worcester,MA,1609,http://www.abbyshouse.org/,Human Services,Social Services,1412874,5924521
8965,ABC² (Accelerate Brain Cancer Cure),"1717 Rhode Island Avenue, NW Suite 700",Washington,DC,20036,http://www.abc2.org,Health,Medical Research,1584284,2819388
9182,Abode Services,40849 Fremont Boulevard ,Fremont,CA,94538,http://www.abodeservices.org,Human Services,Homeless Services,51752855,19980425
9371,Abraham Initiatives,1460 Broadway ,New York,NY,10036,https://abrahaminitiatives.org/,International,"International Peace, Security, and Affairs",1712132,559801
15194,Abraham Lincoln Presidential Library Foundation,500 East Madison Street Suite 200,Springfield,IL,62701,http://www.alplm.org/,"Arts, Culture, Humanities","Libraries, Historical Societies and Landmark Preservation",2768256,24724441
12762,Abused Deaf Women's Advocacy Services,"8623 Roosevelt Way, NE ",Seattle,WA,98115,http://www.adwas.org/,Human Services,Social Services,1766977,2582859
13578,Academy Art Museum,106 South Street ,Easton,MD,21601,http://www.academyartmuseum.org/,"Arts, Culture, Humanities",Museums,1656077,9976356
5705,Academy of Achievement,"1222 Sixteenth Street, NW ",Washington,DC,20036,http://www.achievement.org,Education,Adult Education Programs and Services,6797125,3424623
9256,Academy of American Poets,75 Maiden Lane Suite 901,New York,NY,10038,https://poets.org,"Arts, Culture, Humanities",Performing Arts,1907827,10072827
14568,Academy of Fine Arts,600 Main Street ,Lynchburg,VA,24504,http://www.academyfinearts.com,"Arts, Culture, Humanities",Performing Arts,2338886,37764254
14729,Academy of Hope Adult Public Charter School,2315 18th Place NE ,Washington,DC,20018,http://aohdc.org/,Education,Adult Education Programs and Services,5838006,1988079
8467,Academy of Nutrition and Dietetics Foundation,120 South Riverside Plaza Suite 2190,Chicago,IL,60606,http://eatrightfoundation.org/,Health,Treatment and Prevention Services,3022441,26606229
9103,Academy of Television Arts & Sciences Foundation,5220 Lankershim Boulevard ,North Hollywood,CA,91601,http://emmys.org/foundation/,Education,Youth Education Programs and Services,6146489,33268153
6064,Academy of Vocal Arts,1920 Spruce Street ,Philadelphia,PA,19103,http://www.avaopera.com,Education,Youth Education Programs and Services,4229862,39357081
10838,Acadia Center,8 Summer Street ,Rockport,ME,4856,http://www.acadiacenter.org/,Environment,Environmental Protection and Conservation,2305969,3274725
10907,Accelerated Cure Project for Multiple Sclerosis ,460 Totten Pond Road Suite 140,Waltham,MA,2451,http://www.acceleratedcure.org/,Health,"Diseases, Disorders, and Disciplines",1398221,930381
15263,ACCESS,230 West Market Street ,Akron,OH,44303,http://www.access-shelter.org/,Human Services,Homeless Services,1326548,2355428
7859,ACCESS College Foundation,2555 Ellsmere Avenue Suite 110,Norfolk,VA,23513,http://www.accesscollege.org/,Education,Scholarship and Financial Support,4394560,54187564
9311,Access Fund,4750 Walnut St Suite 100,Boulder,CO,80301,http://www.accessfund.org/,Environment,Environmental Protection and Conservation,2894812,2920610
7754,Accion East ,80 Maiden Lane Suite 903,New York,NY,10038,https://us.accion.org/region/the-east-coast,Community Development,Housing and Neighborhood Development,11366921,7499053
3211,ACCION International,10 Fawcett Street Suite 204,Cambridge,MA,2138,http://www.accion.org,International,Development and Relief Services,29718453,313166287
7806,ACCION San Diego,404 Euclid Avenue Suite 271,San Diego,CA,92114,https://us.accion.org/region/southern-california/?region=southern-california,Community Development,Housing and Neighborhood Development,2411344,9433249
11257,ACE Scholarships,1201 East Colfax Avenue Suite 302,Denver,CO,80218,https://www.acescholarships.org/,Education,Scholarship and Financial Support,30724004,26887738
6917,Achievement Centers for Children,4255 Northfield Road ,Highland Hills,OH,44128,http://www.achievementcenters.org/,Human Services,Social Services,10804504,22820169
10383,Achievement Centers for Children & Families Foundation,555 Northwest 4th Street ,Delray Beach,FL,33444,http://www.achievementcentersfl.org/,Education,Youth Education Programs and Services,2349461,10411948
12696,Achievement First,370 James Street Suite 404,New Haven,CT,6513,http://www.achievementfirst.org,Education,Scholarship and Financial Support,44293373,21238359
11058,AchieveMpls,"111 Third Avenue, South Suite 5",Minneapolis,MN,55401,http://www.achievempls.org,Education,Youth Education Programs and Services,5196212,7349784
10407,Achilles International,42 West 38th Street Fourth Floor,New York,NY,10018,http://www.achillesinternational.org,Human Services,Multipurpose Human Service Organizations,2552407,1025216
13579,ACLU Foundation of Maryland,3600 Clipper Mill Road Suite 350,Baltimore,MD,21211,http://www.aclu-md.org/,Human and Civil Rights,Advocacy and Education,2583339,3218255
15006,ACLU Foundation of Massachusetts,211 Congress Street ,Boston,MA,2110,http://aclum.org/,Human and Civil Rights,Advocacy and Education,3571742,8797535
17074,ACLU Foundation of Southern California,1313 West Eighth Street ,Los Angeles,CA,90017,https://www.aclusocal.org/,Human and Civil Rights,Advocacy and Education,11129546,38312463
18014,ACLU Foundation of Texas,P.O. Box 8306 ,Houston,TX,77288,https://www.aclutx.org/,Human and Civil Rights,Advocacy and Education,3857274,1086007
15108,ACLU of Michigan Foundation,2966 Woodward Avenue ,Detroit,MI,48201,http://www.aclumich.org/,Human and Civil Rights,Advocacy and Education,4788420,6631989
13171,Acres of Love,31920 Del Obispo Suite 175,San Juan Capistrano,CA,92675,https://acresoflove.org/,International,Development and Relief Services,4119369,431896
5766,Act Beyond,P.O. Box 831539 ,Richardson,TX,75083,http://www.beyond.org,Religion,Religious Activities,5392862,1967883
10825,Acterra,3921 East Bayshore Road Suite 208,Palo Alto,CA,94303,http://www.acterra.org,Environment,Environmental Protection and Conservation,1994230,1258181
3212,Action Against Hunger USA,One Whitehall Street Floor 2,New York,NY,10004,http://www.actionagainsthunger.org,International,Development and Relief Services,127324395,95091214
11020,Action for Healthy Kids,600 West Van Buren Street Suite 720,Chicago,IL,60607,http://www.actionforhealthykids.org/,Human Services,"Youth Development, Shelter, and Crisis Services",5973412,4851150
7153,Action in Community Through Service,3900 ACTS Lane ,Dumfries,VA,22026,http://www.actspwc.org,Human Services,Social Services,5059391,3708308
12729,Action Ministries,1700 Century Circle NE Suite 200,Atlanta,GA,30345,http://www.actionministries.net,Human Services,Social Services,10238962,960969
8247,Action on Smoking and Health,1250 Connecticut Avenue Northwest 2nd Floor,Washington,DC,20036,http://www.ash.org,Health,Treatment and Prevention Services,1280081,5363808
