OrgID,charity_name,cause,category,address,City,state,zip,web_url,total_expenses,total_net_assets,class
10278, United Methodist Committee on Relief of Global Ministries,Development and Relief Services,International,458 Ponce De Leon Avenue ,Atlanta,GA,30308,http://www.umcor.org/,"$71,196,129","$111,327,442",2
6466,"10,000 Degrees",Scholarship and Financial Support,Education,1650 Los Gamos Drive Suite 110,San Rafael,CA,94903,http://www.10000degrees.org,"$9,258,322","$13,592,921",2
12098,100 Black Men of America,"Youth Development, Shelter, and Crisis Services",Human Services,141 Auburn Avenue NE ,Atlanta,GA,30303,http://www.100blackmen.org/,"$4,366,870","$3,407,241",0
12123,100 Club of Arizona,Multipurpose Human Service Organizations,Human Services,333 North 44th Street Suite 100,Phoenix,AZ,85008,http://www.100club.org,"$2,201,743","$7,132,258",1
17473,100 Club of Chicago,Social Services,Human Services,875 North Michigan Avenue Suite 1351,Chicago,IL,60611,http://www.100clubchicago.org/,"$1,408,074","$8,178,182",1
8770,1000 Friends of Oregon,Environmental Protection and Conservation,Environment,133 SW 2nd Ave Suite 201,Portland,OR,97204,http://www.friends.org,"$1,564,775","$3,966,190",1
17318,18Doors,Religious Activities,Religion,"90 Oak Street, Fourth Floor P.O. Box 428",Newton Upper Falls,MA,2464,https://18doors.org/,"$2,463,792","$1,747,802",2
15235,24 Foundation,Medical Research,Health,801 East Morehead Street Suite 308,Charlotte,NC,28202,https://www.24foundation.org/,"$1,862,821","$639,656",0
16289,350.org,Environmental Protection and Conservation,Environment,20 Jay Street Suite 732,Brooklyn,NY,11201,http://350.org,"$15,450,256","$14,993,196",1
13055,4 Paws for Ability ,Social Services,Human Services,207 Dayton Avenue ,Xenia,OH,45385,http://www.4pawsforability.org/,"$4,151,432","$4,832,614",1
18129,6 Stones Mission Network,Social Services,Human Services,209 N. Industrial Boulevard Suite 241,Bedford,TX,76021,https://www.6stones.org/,"$4,234,521","$277,035",1
11528,826 Valencia,Youth Education Programs and Services,Education,826 Valencia Street ,San Francisco,CA,94110,https://826valencia.org,"$3,190,593","$7,816,840",0
18903,826LA,Youth Education Programs and Services,Education,1714 West Sunset Boulevard ,Los Angeles,CA,90026,https://826la.org/,"$1,628,301","$2,696,323",0
